,nA1,steps,nA2,age,social,neigh10,reprod,food,death,mutation_rate,time,combination,start_cog,round
103,8456.0,103,20.0,5.0,0.04121751650683607,0.9240322942682676,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
104,8489.0,104,20.0,6.0,0.04121751650683607,0.9248261314064656,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
105,8496.0,105,20.0,7.0,0.04121751650683607,0.9251332796811575,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
106,8497.0,106,20.0,8.0,0.04121751650683606,0.9251665326303852,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
107,8673.0,107,20.0,9.0,0.04121751650683607,0.9291970535207804,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
108,9079.0,108,20.0,10.0,0.041217516506836055,0.9388176572413044,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
109,9503.0,109,20.0,11.0,0.04121751650683607,0.9486111693031116,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
110,9788.0,110,20.0,12.0,0.04121751650683607,0.9574719898432238,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
111,9879.0,111,20.0,13.0,0.04121751650683607,0.9608510521511991,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
112,9906.0,112,20.0,14.0,0.04121751650683607,0.9614484809103336,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
113,9913.0,113,20.0,15.0,0.04121751650683607,0.9616163991589092,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
114,9967.0,114,20.0,16.0,0.04121751650683606,0.9627467867490732,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
115,10285.0,115,20.0,17.0,0.04121751650683607,0.9696912673910834,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
116,10719.0,116,20.0,18.0,0.04121751650683607,0.9782605682102904,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
117,11126.0,117,37.0,10.27027027027027,0.022279738652343808,0.9861582148601132,0.85,0.0,0.0,0.025,24985.76765155792,7,100.0,1
118,11320.0,118,37.0,11.270270270270267,0.0320660635389556,0.9896461654446184,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
119,11361.0,119,37.0,12.270270270270267,0.0320660635389556,0.9909954098263776,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
